score,content,case folding,remove punctuation
5,"Aplikasi sangat bagus, memudahkan saya melakukan perjalanan ke Jakarta.. 😃😄","aplikasi sangat bagus, memudahkan saya melakukan perjalanan ke jakarta.. 😃😄",aplikasi sangat bagus memudahkan saya melakukan perjalanan  jakarta
5,"menyenangkan, nyaman, bersih, penjaga jya ramah dan sangat membantu","menyenangkan, nyaman, bersih, penjaga jya ramah dan sangat membantu",menyenangkan nyaman bersih penjaga  ramah  sangat membantu
5,"Bagus ,enak adem nyaman dan sangat mudah untuk cara pemesan tiket ny . naik pas ulang tahun jakarta 22 juni 2024 .","bagus ,enak adem nyaman dan sangat mudah untuk cara pemesan tiket ny . naik pas ulang tahun jakarta 22 juni 2024 .",bagus enak adem nyaman  sangat mudah untuk cara pemesan tiket  naik  ulang tahun jakarta juni
5,"baguss banget, aplikasinya berisi informasi yang jelas dan dapat dimengerti","baguss banget, aplikasinya berisi informasi yang jelas dan dapat dimengerti",baguss banget aplikasinya berisi informasi yang jelas  dapat dimengerti
5,"Kereta oke aplikasi interfacenya ok, pertahankan.","kereta oke aplikasi interfacenya ok, pertahankan.",kereta  aplikasi interfacenya  pertahankan
5,"tidak perlu kartu pembayaran elektronik lagi, simple dan mudah digunakan","tidak perlu kartu pembayaran elektronik lagi, simple dan mudah digunakan",tidak perlu kartu pembayaran elektronik lagi simple  mudah digunakan
5,bagus aplikasinya tingkatkan terus pelayanan kereta mrtnya,bagus aplikasinya tingkatkan terus pelayanan kereta mrtnya,bagus aplikasinya tingkatkan terus pelayanan kereta mrtnya
5,blom coba smoga aja aplikasinya bisa mempermudah perjalanan 😊👍,blom coba smoga aja aplikasinya bisa mempermudah perjalanan 😊👍,blom coba smoga  aplikasinya bisa mempermudah perjalanan
5,"Seneng bgt naik MRT selain bersih, ontime jugaaa terintegrasi dengan moda TJ, KRL dan JakLingko 👏👏👏","seneng bgt naik mrt selain bersih, ontime jugaaa terintegrasi dengan moda tj, krl dan jaklingko 👏👏👏",seneng  naik  selain bersih ontime jugaaa terintegrasi dengan moda    jaklingko
5,"trkadang lemot, trkadang bgs. udh 4x uninstall bru yg ke 5 donlot agar bs masuk akun","trkadang lemot, trkadang bgs. udh 4x uninstall bru yg ke 5 donlot agar bs masuk akun",trkadang lemot trkadang    uninstall    donlot agar  masuk akun
5,Transportasi terbaru di DKI jakarta. Rute nya hanya dari Lebak bulus Tujuan Bundaran HI / arah sebaliknya Bundaran HI tujuan Lebak Bulus @indorihan 2019,transportasi terbaru di dki jakarta. rute nya hanya dari lebak bulus tujuan bundaran hi / arah sebaliknya bundaran hi tujuan lebak bulus @indorihan 2019,transportasi terbaru   jakarta rute  hanya dari lebak bulus tujuan bundaran  arah sebaliknya bundaran  tujuan lebak bulus
