score,content
5,Inovasi luar biasa dari KAI dengan adanya fitur terbaru tidak usah datang ke stasiun hanya untuk menjadwal ulang ataupun membatalkan tiket. Recommended banget buat yang suka traveling yang ingin tidak usah repot-repot pesan ke stasiun. Harapannya untuk aplikasi ini mohon ditambahkan metoda pembayaran tiket kereta api lokal. Terimakasih
5,"bila server internet dedicated di semua wilayah track KA tentunya takakan terjadi kendala, maaf di daerah2 masih sangat sering terjadi lost signal 4g dan mati listrik di BTS, tolong lebih bijak tiket 1 hour to go di buka 4 hour before seperti Di Aplikasi sebelumnya. Terimakasih"
5,"Buat saya gada gangguan berarti dan aplikasi interface nya mudah digunakan. Cuma saya mau bertanya nih semoga dijawab ya Bagaiamana cara mendapatkan point? Ketika saya membeli tiket melalui kau acces ko tidak pernah dapat poin yah? Padahal id sudah sesuai? Terus ini ada saran, mohon lah dipertimbangkan. Tolong permudahkan pembayaran ka lokal. Jangan hanya melalui linkaja, mohon menyediakan alternatif pembayaran lain apakah ovo ataupun melalui gerai retail dan mbangking. Terimakasih"
5,Sukses terus buat KAI. Aplikasinya sangat membantu. Dan respon admin yang menjawab pertanyaan seputar info yang saya tanyakan sangat responsif dan baik. Reschedule pun bisa di lakukan dengan mudah sekarang. Check-in pun juga lebih mudah dan cepat dengan e-boarding yang akan muncul 2jam sebelum keberangkatan melalui aplikasi ini. Sangat cocok untuk orang yang mempersiapkan perjalanan jauh-jauh hari seperti saya.
5,"Aplikasi yg sangat membantu, dengan berbagai fitur saat ini memudahkan pemesanan tiket kereta dimana saja dan kapan saja. Sukses selalu KAI dan terus berkembang menjadi lebih baik"
5,Jadi gampang untuk cancel tiket untuk nama sendiri ya & check in online Lebih ditingkatkan dunkz untuk cancel bisa atas nama yang masih 1 KK. Terkadang pesan tiket untuk orang tua tapi cancel mendadak jadi harus datang ke loket. Terima kasih
5,Makasih selalu ngasi tumpangan😍
5,mudah gampang cepet
5,"kurang memuaskan setelah diupdate banyak bug terjadi,kurang stabilnya sinyal padahal saya sudah memakai wifi dan datapun 4G+ tetapi tetep ada pemberitahuan koneksi anda bermasalah"
5,Mohon bantuanya kai access sya gak Bisa melilih untuk jadwal kereta selalu data perjalanan tidak di temukan padahal sudah pakai wifi jaringan bagus.mohon solusi nya..
5,keren banget sekarang kursi yang sudah dipesan ada keterangan laki-laki atau perempuan ⭐
5,Semakin cepat pelayanannya
5,maaf saya biasanya pake versi web lebih mudah proses pembayaran dan gampang harusnya yang versi web dan app dibuat sama misal bisa milih bangku dan metode pembayaran beragam bisa di minarket transfer dll. tapi saya tidak bisa pesan tiket medan ke binjai di web padahal ke stasiun lain bisa ?
5,"Sdh pilih kereta...pas di klik..harus isi data member...sdh masukin data2 nya,,ada penjelasab no telp dan email ready exist...selalu sperti itu..knapa ya..akhirnya tdk bisa beli Bertahun2 pakai KAI Acses baik2 sj..skarang jd ga bisa mudah"
5,"Baru mau ngecek jadwal Time out melulu.. belum juga order,,. KAI.. perbaiki donk aplikasinya ?? Kenapa TDK ada perbaikan server dr KAI. Please dongg sangat mengecewakan ,hrs bolak balik unistal ,br bisa dipake.. utk orshn besar hrsnya servis aplikasi memuaskan...,, Bukan mengecewakan spt ini. Mana TDK ada tanggapan lagi"
5,"Sebenernya aplikasi ini ga seburuk itu, memang kadang bermasalah tapi menurut saya pribadi aplikasi ini lebih banyak membantunya daripada bermasalahnya. Saya lumayan sering bepergian pakai kereta lokal dan jarang banget error. Mungkin ada beberapa aspek yang perlu diperbaiki tapi saya yakin ini bukan hal yang mudah dan saya juga yakin kalau tim pengembang aplikasi KAI tidak mungkin diam saja. Terima kasih KAI, semoga bisa selalu memberikan pelayanan terbaik untuk negeri!"
5,Sejauh ini lumayan baik.. Namun ketika akan melakukan pembatalan tiket dg NIK yg berbeda dg pemilik akun KAI Access maka tetap harus ke CS di Stasiun.. Alangkah lebih efektif jika bisa dg melampirkan foto KTP yg akan membatalkan tiket.. Jadi siapapun bisa batalin tiket menggunakan akun KAI Access siapapun..
5,"Aplikasi busuk, pesan tiket aja susah bgt"
5,"Local train sekarang cuma ada yg pagi doang kalo lewat apk? Kalo alasannya gara"" pembagian kuota antara online dan offline kalo bisa jangan per jam kereta kayak gini. Mending setengah"" per jam nya. Kalo kayak gini rasanya sama saja jadi harus ke stasiun lagi hmm."
5,"Baru saja update aplikasi kenapa timeout terus ya? Tolong diperbaiki karena aplikasi ini selalu saya pakai untuk beli tiket kereta. Sebelumnya lancar-lancar aja kok, tidak ada kendala apapun. Sekali lagi, tolong diperbaiki ya. Terima kasih!"
5,"Sudah saatnya KAI meningkatkan fasilitas kursi Penumpang yg lebih memadai dan nyaman (modern) utk semua armada Kereta diseluruh jaringan tranfortasi Indonesia ,, Bukan justru sebaliknya berada dibawah standar fasilitas Angkutan Bus yg tarifnya lebih murah diberlakukan kpd Penumpang ,, sesuai perkembangan jaman yg lebih maju dan manusiawi 🙏"
5,"Sejauh ini sih aplikasinya berjalan baik, cuma tadi pas pesan tiket online nomor gerbong dan nomor kursinya tidak muncul seperti biasanya,dan status pembayarannya juga sudah berhasil dan saldo sudah terpotong, padahal itu saldo terakhir aku karena m-banking dan ewallet juga udh ga ada uangnya, mana hari ini dompet ketinggalan, alhasil ini tidur dikantor karena temen juga ga punya uang lebih wkwkwk. Tapi sejauh ini baik baik saja, dan aku rasa itu hanya ksalahan dihari ini wkwkwk, ⭐5 untuk accees"
5,"Meskipun apk nya di update tapi gpp it's Oky meskipun sebelas dua belas dengan fitur yang sama, yang beda hanya tampilan dan tema nya saja, tapi yang sekarang lebih ribet sedikit ga seperti dulu satset tapi meskipun di up Semoga PT nya berjalan lancar dan bisa membantu orang² yang mau bepergian kemanapun dan di manapun🤩😍👍👍"
5,"Agak gak nyaman klo kursinya diambil orang, udah bilang itu kursi saya, orangnya gamau pindah, percuma pilih dipinggir dekat jendela kalo akhirnya tetep aja dapet yg ga sesuai sama kursi kita. mungkin bisa dikasih kebijakan yg bener2 harus sesuai sama kursinya."
5,"Aplikasinya bagus, pemesanan tiket lancar tanpa ada kendala. Perlu di tingkatkan lagi untuk barcode tiket by aplikasi, kadang tidak terbaca saat lakukan sensor menggunakan barcode untuk printout tiket."
5,Kenapa yah sekarang ga bisa pilih kursi kenapa yag?
5,"Sudah bagus KAI sekarang.saran semua jenis kereta klas ekonomi bangkunya dibuat menghadap kedepan semua (seperti kertajaya) nyaman.tidak rawan penularan virus.dan mohon dengan sangat agar setiap gerbong dikasih space/tempat untuk shalat(2 kursi aja dicabut uda jadi tempat shalat itu).....jadi kita yg muslim tidak bingung mau shalat dimana.insyaallah amal jariyah(mengalir pahala) buat crew KAI jika ide ini direlisasikan.amin..Demikian.terimakasih .salam hormat Kres,TNI AL lmg."
5,"Ubur-ubur ikan lele, terlanjur update aplikasi lebih buruk leee..."
5,Bagus aman nyaman mending beli tiket kereta langsung di aplikasi nya
5,"kalau bisa di bikin aplikasi pendaftaran online khusus anggota jadi biar mudah daftarnya tidak harus ke stasiun terlebih dahulu, terimakasih..."
5,Beli tiket jadi sangat mudah
5,Semoga semakin bagus pelayanannya
5,Semoga semakin berkembang kereta kita
5,"Kok gak bisa ya ketika mau melakukan pembayaran ,"
5,aplikasinya sangat bagus
5,memudahkan perjalanan kita
5,nyaman juga aman
5,layanan cepat
5,mantap sangat membantu
5,"sangat membantu, 👍"
5,Pertahankan yang sudah baik 👍👍👍
5,sangat membantu skali.... mantap...mantap... sukses slalu PT KAI... 😇😇😇👍👍👍
5,bagus Skali apk ini
5,sangat memudahkan pembelian tiket
