content,case folding
"pembayaran dengan KAI Pay sering Trouble, di saldo sudah berkurang dan tertera berhasil,dan lunas tapi di bagian Tiket masih di kolom menunggu,, sungguh harus dibenerin, Server sering overload jadi lama loadinya dan sering error Kai Acces sudah bagus tinggal dibenahi soal diatas dn banya masukan yang lain,, tolong disegerakan demi kenyamanan customers.","pembayaran dengan kai pay sering trouble, di saldo sudah berkurang dan tertera berhasil,dan lunas tapi di bagian tiket masih di kolom menunggu,, sungguh harus dibenerin, server sering overload jadi lama loadinya dan sering error kai acces sudah bagus tinggal dibenahi soal diatas dn banya masukan yang lain,, tolong disegerakan demi kenyamanan customers."
"Kenapa sekarang setelah di update kalau mau ganti tempat duduk jadi gak bisa, sudah di tap tempat duduknya tapi setelah pilih gerbong gak bisa pilih tempat duduknya, masih enakan versi yang lama min jangan kau kecewakan pelanggan setiamu ini tolong di di upgrade yang lebih bagus lagi dengarkan lah keluhan semua pengguna mu ini jangan hanya mementingkan agen"" besar saja wassalam","kenapa sekarang setelah di update kalau mau ganti tempat duduk jadi gak bisa, sudah di tap tempat duduknya tapi setelah pilih gerbong gak bisa pilih tempat duduknya, masih enakan versi yang lama min jangan kau kecewakan pelanggan setiamu ini tolong di di upgrade yang lebih bagus lagi dengarkan lah keluhan semua pengguna mu ini jangan hanya mementingkan agen"" besar saja wassalam"
Kenapa setelah pemesanan mau pembayaran pasti logout otomatis? Dan hrus mengulang lagi seperti itu ??? Padahal dah lama make app KAI access tp bru kli nih Booking tiket mlah ga semudah dlu. . .,kenapa setelah pemesanan mau pembayaran pasti logout otomatis? dan hrus mengulang lagi seperti itu ??? padahal dah lama make app kai access tp bru kli nih booking tiket mlah ga semudah dlu. . .
"Aplikasi yang sangat memudahkan.. ga perlu antri di loket, beli tiket jarak deket jg ga perlu cetak lagi.. mantapp deh.. semoga bisa pake pembayaran selain link aja, ato pake mbanking gitu.. tapi semuanya udah bagus kok.. sukses selalu KAI..","aplikasi yang sangat memudahkan.. ga perlu antri di loket, beli tiket jarak deket jg ga perlu cetak lagi.. mantapp deh.. semoga bisa pake pembayaran selain link aja, ato pake mbanking gitu.. tapi semuanya udah bagus kok.. sukses selalu kai.."
Sangat membatu perjalanan saya.. KAI memang terbaik,sangat membatu perjalanan saya.. kai memang terbaik
Akhirnya bisa cancel dan reschedule via app. Kejadian ga bisa cancel seperti waktu lebaran kemarin ga bakal terjadi kalau kaya gini. KAI mantap👍👍👍👍,akhirnya bisa cancel dan reschedule via app. kejadian ga bisa cancel seperti waktu lebaran kemarin ga bakal terjadi kalau kaya gini. kai mantap👍👍👍👍
"Baik dlm menggunakan aplikasi n membantu dalam pelanyanan ditigal dan efisien serta baik untuk kai .saya bangga bekerjaaa di perkereta apian walaupun di anak perusahan dan melayani masarakat,dan juga banyak tantangan ...trimaksh kai acces","baik dlm menggunakan aplikasi n membantu dalam pelanyanan ditigal dan efisien serta baik untuk kai .saya bangga bekerjaaa di perkereta apian walaupun di anak perusahan dan melayani masarakat,dan juga banyak tantangan ...trimaksh kai acces"
"Setelah di update aplikasi jd sering macet dan foreclos di android 11,,tolong di perbaiki bug nya om,speed data sering nol saat akan execusi selanjutnya.","setelah di update aplikasi jd sering macet dan foreclos di android 11,,tolong di perbaiki bug nya om,speed data sering nol saat akan execusi selanjutnya."
"Untuk pertama kali pakai, seperti menyesal telah mendowload aplikasi ini. Tapi setelah tau caranya, aku merasa semakin suka dan merasa aplikasi ini sangat bermanfaat. Untuk pemula, sebaiknya pelajari tata cara penggunaannya. Dan banyak bersabar saja. Tapi kalau sudah paham, pasti akan suka","untuk pertama kali pakai, seperti menyesal telah mendowload aplikasi ini. tapi setelah tau caranya, aku merasa semakin suka dan merasa aplikasi ini sangat bermanfaat. untuk pemula, sebaiknya pelajari tata cara penggunaannya. dan banyak bersabar saja. tapi kalau sudah paham, pasti akan suka"
Pernah transaksi double dg kode yang sama. Meskipun awalnya mikir kok bisa. Ternyata aplikasi masih ada bug. Tapi uangnya di kembalikan kurang dr 2x24 jam. Mantab,pernah transaksi double dg kode yang sama. meskipun awalnya mikir kok bisa. ternyata aplikasi masih ada bug. tapi uangnya di kembalikan kurang dr 2x24 jam. mantab
"Jangan sering2 update dong.. klo lagi ada paket kuota sih boleh, tapi klo pake paket smartfren unlimited mah wah berantakan klo kuotanya habis, mana semua kudu online pula, repotin banget, ga semua stasiun ada wifi, ga semua stasiun juga ada yang jual tiket di toko2nya","jangan sering2 update dong.. klo lagi ada paket kuota sih boleh, tapi klo pake paket smartfren unlimited mah wah berantakan klo kuotanya habis, mana semua kudu online pula, repotin banget, ga semua stasiun ada wifi, ga semua stasiun juga ada yang jual tiket di toko2nya"
"Tolong untuk menu pilih kursi di kereta ekonomi, ditambah arah kereta berjalan juga, biar ngga bingung buat pilih kursi dapat yang maju atau mundur","tolong untuk menu pilih kursi di kereta ekonomi, ditambah arah kereta berjalan juga, biar ngga bingung buat pilih kursi dapat yang maju atau mundur"
"Kukasih bintang lima karna memang sangat membantu untuk pemesanan tiket kereta api, mudah banget tp emang gitu kurangnya kadang loading saat mencari kereta susah, error dan tidak tersedia jadwal padahal sbnrnya ada","kukasih bintang lima karna memang sangat membantu untuk pemesanan tiket kereta api, mudah banget tp emang gitu kurangnya kadang loading saat mencari kereta susah, error dan tidak tersedia jadwal padahal sbnrnya ada"
